title,artist,link
Abstract Brush Drawing (1978),William Johnstone,https://collections.ed.ac.uk/art/./record/658?highlight=*:*
Abstract Brush Drawing (1978),William Johnstone,https://collections.ed.ac.uk/art/./record/497?highlight=*:*
In a Chinese Garden (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/470?highlight=*:*
Portrait of Hope Scott (1975),William Johnstone,https://collections.ed.ac.uk/art/./record/539?highlight=*:*
Morning Haar (1971),William Johnstone,https://collections.ed.ac.uk/art/./record/391?highlight=*:*
Yellow Structure (1988),William Gear,https://collections.ed.ac.uk/art/./record/20290?highlight=*:*
Untitled - Abstract Blue and Green Squares (1994),Roger Elliot,https://collections.ed.ac.uk/art/./record/99461?highlight=*:*
Fragments of Experience (1979),William Johnstone,https://collections.ed.ac.uk/art/./record/422?highlight=*:*
The Hostages (1967),Willie Rodger,https://collections.ed.ac.uk/art/./record/19669?highlight=*:*
Untitled (two panels) (2019),Mohamed Ounouh,https://collections.ed.ac.uk/art/./record/20193?highlight=*:*
Abstract Landscape (1981),William Johnstone,https://collections.ed.ac.uk/art/./record/521?highlight=*:*
Abstract Landscape (1990),Robert Euman,https://collections.ed.ac.uk/art/./record/22639?highlight=*:*
Autumn (2019),William Johnstone,https://collections.ed.ac.uk/art/./record/439?highlight=*:*
"Unknown, Abstract (2019)",Paresh Chandra Chakraborty,https://collections.ed.ac.uk/art/./record/99485?highlight=*:*
Counterswirl (Rain in Ettrick) (1965-1969),William Johnstone,https://collections.ed.ac.uk/art/./record/445?highlight=*:*
Abstract (2019),Alan T. Johnston,https://collections.ed.ac.uk/art/./record/22609?highlight=*:*
Terro Rosso (2019),William Johnstone,https://collections.ed.ac.uk/art/./record/467?highlight=*:*
Abstract Brush Drawing (1976),William Johnstone,https://collections.ed.ac.uk/art/./record/423?highlight=*:*
Abstract Brush Drawing (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/437?highlight=*:*
Abstract in Yellow and Black (1991),Unknown,https://collections.ed.ac.uk/art/./record/22630?highlight=*:*
Untitled (2018),Douglas Cook,https://collections.ed.ac.uk/art/./record/22567?highlight=*:*
Untitled (white dog) (1991),Mohamed Ounouh,https://collections.ed.ac.uk/art/./record/20187?highlight=*:*
Turquoise and Pink (Circa 1969),Maureen Marshall,https://collections.ed.ac.uk/art/./record/22546?highlight=*:*
Abstract Composition in Yellow (Circa 1972),Charles K. S. Shaw,https://collections.ed.ac.uk/art/./record/22599?highlight=*:*
Earth Monument Lithograph No 1 (1976),William Johnstone,https://collections.ed.ac.uk/art/./record/450?highlight=*:*
East Wind (1969),William Johnstone,https://collections.ed.ac.uk/art/./record/610?highlight=*:*
Abstract Ink Drawing (1971),William Johnstone,https://collections.ed.ac.uk/art/./record/368?highlight=*:*
Abstract Composition (1970),William Johnstone,https://collections.ed.ac.uk/art/./record/598?highlight=*:*
Splash Drawing (1978),William Johnstone,https://collections.ed.ac.uk/art/./record/589?highlight=*:*
Black Tree (1979),William Johnstone,https://collections.ed.ac.uk/art/./record/525?highlight=*:*
Untitled (1979),William Johnstone,https://collections.ed.ac.uk/art/./record/659?highlight=*:*
Silent Landscape (1975),William Johnstone,https://collections.ed.ac.uk/art/./record/644?highlight=*:*
Motifs in Search of a Composition (1971),William Johnstone,https://collections.ed.ac.uk/art/./record/570?highlight=*:*
Border Red (Kabluna Series) (1976),William Johnstone,https://collections.ed.ac.uk/art/./record/656?highlight=*:*
Untitled (1943-1944),William Johnstone,https://collections.ed.ac.uk/art/./record/519?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,https://collections.ed.ac.uk/art/./record/22571?highlight=*:*
Green Fields With Hayricks (1957),William Johnstone,https://collections.ed.ac.uk/art/./record/440?highlight=*:*
Seated Figures and Flight of Stairs (1968),Ronald D. Forbes,https://collections.ed.ac.uk/art/./record/22521?highlight=*:*
Abstract Brush Drawing (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/613?highlight=*:*
Untitled (1971),William Johnstone,https://collections.ed.ac.uk/art/./record/500?highlight=*:*
Grey Form (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/587?highlight=*:*
Untitled - Cubist Guitar Player (1963),Ann F Ward,https://collections.ed.ac.uk/art/./record/99350?highlight=*:*
Untitled - Abstract Woman (1963),Chloe E Brayn,https://collections.ed.ac.uk/art/./record/99374?highlight=*:*
Untitled - Abstract Portrait of King (1961),John Mitchell,https://collections.ed.ac.uk/art/./record/99366?highlight=*:*
Abstract Drawing (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/643?highlight=*:*
Abstract Brush Drawing (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/449?highlight=*:*
